"UTCDateTime","Temperature"
2015-06-02 22:59:59,27.2731
2015-06-02 23:04:59,27.175
2015-06-02 23:09:59,27.333
2015-06-02 23:14:59,27.4615
2015-06-02 23:19:59,27.4303
2015-06-02 23:24:59,27.4709
2015-06-02 23:29:59,27.5094
2015-06-02 23:34:59,27.5218
2015-06-02 23:39:59,27.3511
2015-06-02 23:44:59,27.5047
2015-06-02 23:49:59,27.5519
2015-06-02 23:54:59,27.5619
2015-06-02 23:59:59,27.3072
2015-06-03 00:04:59,27.4825
2015-06-03 00:09:59,27.4829
2015-06-03 00:14:59,27.482
2015-06-03 00:19:59,27.5049
2015-06-03 00:24:59,27.527
2015-06-03 00:29:59,27.5223
2015-06-03 00:34:59,27.5168
2015-06-03 00:39:59,27.5184
2015-06-03 00:44:59,27.5047
2015-06-03 00:49:59,27.4878
2015-06-03 00:54:59,27.4877
2015-06-03 00:59:59,27.479
2015-06-03 01:04:59,27.4667
2015-06-03 01:09:59,27.4766
2015-06-03 01:14:59,27.5204
2015-06-03 01:19:59,27.5489
2015-06-03 01:24:59,27.4858
2015-06-03 01:29:59,27.4626
2015-06-03 01:34:59,27.4685
2015-06-03 01:39:59,27.4891
2015-06-03 01:44:59,27.5205
2015-06-03 01:49:59,27.5425
2015-06-03 01:54:59,27.5113
2015-06-03 01:59:59,27.4933
2015-06-03 02:04:59,27.5151
2015-06-03 02:09:59,27.5069
2015-06-03 02:14:59,27.493
2015-06-03 02:19:59,27.4914
2015-06-03 02:24:59,27.5176
2015-06-03 02:29:59,27.5368
2015-06-03 02:34:59,27.5446
2015-06-03 02:39:59,27.5406
2015-06-03 02:44:59,27.5474
2015-06-03 02:49:59,27.5479
2015-06-03 02:54:59,27.5254
2015-06-03 02:59:59,27.5266
2015-06-03 03:04:59,27.5274
2015-06-03 03:09:59,27.5071
2015-06-03 03:14:59,27.5071
2015-06-03 03:19:59,27.5022
2015-06-03 03:24:59,27.5132
2015-06-03 03:29:59,27.5095
2015-06-03 03:34:59,27.499
2015-06-03 03:39:59,27.5027
2015-06-03 03:44:59,27.4962
2015-06-03 03:49:59,27.5093
2015-06-03 03:54:59,27.5188
2015-06-03 03:59:59,27.5452
2015-06-03 04:04:59,27.5266
2015-06-03 04:09:59,27.5203
2015-06-03 04:14:59,27.5156
2015-06-03 04:19:59,27.5023
2015-06-03 04:24:59,27.5155
2015-06-03 04:29:59,27.6969
2015-06-03 04:34:59,27.7358
2015-06-03 04:39:59,27.7122
2015-06-03 04:44:59,27.7181
2015-06-03 04:49:59,27.7007
2015-06-03 04:54:59,27.7049
2015-06-03 04:59:59,27.7051
2015-06-03 05:04:59,27.7568
2015-06-03 05:09:59,27.7499
2015-06-03 05:14:59,27.7331
2015-06-03 05:19:59,27.7017
2015-06-03 05:24:59,27.7053
2015-06-03 05:29:59,27.7185
2015-06-03 05:34:59,27.6964
2015-06-03 05:39:59,27.7467
2015-06-03 05:44:59,27.6689
2015-06-03 05:49:59,27.5979
2015-06-03 05:54:59,27.6573
2015-06-03 05:59:59,27.5956
2015-06-03 06:04:59,27.599
2015-06-03 06:09:59,27.6209
2015-06-03 06:14:59,27.5408
2015-06-03 06:19:59,27.4459
2015-06-03 06:24:59,27.271
2015-06-03 06:29:59,27.3542
2015-06-03 06:34:59,27.3565
2015-06-03 06:39:59,27.1788
2015-06-03 06:44:59,27.4306
2015-06-03 06:49:59,27.3355
2015-06-03 06:54:59,27.1208
2015-06-03 06:59:59,27.0552
2015-06-03 07:04:59,26.913
2015-06-03 07:09:59,26.9415
2015-06-03 07:14:59,26.9859
2015-06-03 07:19:59,26.9819
2015-06-03 07:24:59,26.9023
2015-06-03 07:29:59,26.8643
2015-06-03 07:34:59,26.872
2015-06-03 07:39:59,26.7961
2015-06-03 07:44:59,26.7112
2015-06-03 07:49:59,26.668
2015-06-03 07:54:59,26.6009
2015-06-03 07:59:59,26.5991
2015-06-03 08:04:59,26.6211
2015-06-03 08:09:59,26.6294
2015-06-03 08:14:59,26.6531
2015-06-03 08:19:59,26.8921
2015-06-03 08:24:59,26.9377
2015-06-03 08:29:59,26.9259
2015-06-03 08:34:59,26.7864
2015-06-03 08:39:59,26.6578
2015-06-03 08:44:59,26.5147
2015-06-03 08:49:59,26.494
2015-06-03 08:54:59,26.8246
2015-06-03 08:59:59,26.6085
2015-06-03 09:04:59,27.0695
2015-06-03 09:09:59,26.7796
2015-06-03 09:14:59,26.6081
2015-06-03 09:19:59,26.6658
2015-06-03 09:24:59,27.0086
2015-06-03 09:29:59,26.8644
2015-06-03 09:34:59,27.0761
2015-06-03 09:39:59,26.7002
2015-06-03 09:44:59,26.9741
2015-06-03 09:49:59,26.9429
2015-06-03 09:54:59,27.1858
2015-06-03 09:59:59,26.399
2015-06-03 10:04:59,26.7653
2015-06-03 10:09:59,27.0361
2015-06-03 10:14:59,27.1007
2015-06-03 10:19:59,27.0862
2015-06-03 10:24:59,26.9658
2015-06-03 10:29:59,26.7992
2015-06-03 10:34:59,27.4444
2015-06-03 10:39:59,27.4109
2015-06-03 10:44:59,26.995
2015-06-03 10:49:59,26.643
2015-06-03 10:54:59,26.5781
2015-06-03 10:59:59,26.5457
2015-06-03 11:04:59,26.5607
2015-06-03 11:09:59,26.9762
2015-06-03 11:14:59,27.3548
2015-06-03 11:19:59,27.3413
2015-06-03 11:24:59,27.2218
2015-06-03 11:29:59,27.2235
2015-06-03 11:34:59,27.1625
2015-06-03 11:39:59,26.9794
2015-06-03 11:44:59,27.0376
2015-06-03 11:49:59,26.8994
