FrameSync,DateTime (UTC+00:00),2114-Int-pH,2114-Ext-pH,2114-Temp,Sample Number (#),Error Flags (#),External pH (Volt),Internal pH (Volt),Relative Humidity (%),Int Temperature (Celsius)
SEAFET02114,10/4/22 14:00,7.9935,7.9612,27.9375,153,0,-0.830581,-0.877609,51,27.8
SEAFET02114,10/4/22 14:15,7.9895,7.965,28.2447,154,0,-0.830031,-0.87769,51.6,28.2
SEAFET02114,10/4/22 14:30,7.9868,7.9689,28.4459,155,0,-0.829592,-0.877754,52,28.4
SEAFET02114,10/4/22 14:45,7.9821,7.9709,28.5723,156,0,-0.829341,-0.877971,52.2,28.5
SEAFET02114,10/4/22 15:00,7.9818,7.9759,28.6617,157,0,-0.828944,-0.87794,52.4,28.5
SEAFET02114,10/4/22 15:15,7.982,7.98,28.7225,158,0,-0.828636,-0.877899,52.5,28.6
SEAFET02114,10/4/22 15:30,7.9798,7.9826,28.7653,159,0,-0.828434,-0.878012,52.6,28.6
SEAFET02114,10/4/22 15:45,7.9806,7.9866,28.7957,160,0,-0.828165,-0.877944,52.6,28.7
SEAFET02114,10/4/22 16:00,7.9793,7.9882,28.8199,161,0,-0.828041,-0.87801,52.7,28.7
SEAFET02114,10/4/22 16:15,7.9789,7.9895,28.8396,162,0,-0.827945,-0.878025,52.7,28.7
SEAFET02114,10/4/22 16:30,7.9775,7.9903,28.8545,163,0,-0.827878,-0.878102,52.8,28.7
SEAFET02114,10/4/22 16:45,7.9806,7.9953,28.8676,164,0,-0.827566,-0.877908,52.8,28.7
SEAFET02114,10/4/22 17:00,7.9801,7.9961,28.8735,165,0,-0.827512,-0.877934,52.8,28.7
SEAFET02114,10/4/22 17:15,7.9795,7.9966,28.886,166,0,-0.827471,-0.877965,52.8,28.7
SEAFET02114,10/4/22 17:30,7.9793,7.9971,28.8847,167,0,-0.827443,-0.877978,52.8,28.7
SEAFET02114,10/4/22 17:45,7.9798,7.9991,28.8933,168,0,-0.827309,-0.877946,52.8,28.7
