FrameSync,DateTime (UTC+00:00),2114-Int-pH,2114-Ext-pH,2114-Temp,Sample Number (#),Error Flags (#),External pH (Volt),Internal pH (Volt),Relative Humidity (%),Int Temperature (Celsius)
SEAFET02114,10/4/22 18:00,7.9794,7.9989,28.898,169,0,-0.827322,-0.877964,52.8,28.7
SEAFET02114,10/4/22 18:15,7.9799,8.0007,28.9028,170,0,-0.827205,-0.877932,52.8,28.7
SEAFET02114,10/4/22 18:30,7.9805,8.001,28.8933,171,0,-0.827197,-0.877903,52.9,28.8
SEAFET02114,10/4/22 18:45,7.9803,8.0014,28.9033,172,0,-0.827165,-0.877911,52.9,28.8
SEAFET02114,10/4/22 19:00,7.9806,8.0019,28.8989,173,0,-0.82714,-0.877894,52.9,28.8
SEAFET02114,10/4/22 19:15,7.9804,8.0017,28.889,174,0,-0.827163,-0.877908,52.9,28.8
SEAFET02114,10/4/22 19:30,7.9799,8.0019,28.895,175,0,-0.827141,-0.877939,52.8,28.7
SEAFET02114,10/4/22 19:45,7.9793,8.0011,28.8959,176,0,-0.827189,-0.877975,52.9,28.8
SEAFET02114,10/4/22 20:00,7.9796,8.0015,28.8959,177,0,-0.827167,-0.877953,52.9,28.8
SEAFET02114,10/4/22 20:15,7.98,8.0023,28.8998,178,0,-0.827113,-0.877928,52.9,28.8
SEAFET02114,10/4/22 20:30,7.9787,8.0005,28.895,179,0,-0.827229,-0.878008,52.9,28.8
SEAFET02114,10/4/22 20:45,7.9791,8.0014,28.9002,180,0,-0.827168,-0.877981,52.9,28.8
SEAFET02114,10/4/22 21:00,7.98,8.0016,28.8906,181,0,-0.827166,-0.877936,52.9,28.8
SEAFET02114,10/4/22 21:15,7.9779,8.0003,28.8926,182,0,-0.827243,-0.878057,52.8,28.7
SEAFET02114,10/4/22 21:30,7.9786,8.0007,28.888,183,0,-0.827222,-0.878017,52.9,28.8
SEAFET02114,10/4/22 21:45,7.9777,7.9997,28.8847,184,0,-0.827283,-0.878073,52.9,28.8
SEAFET02114,10/4/22 22:00,7.9763,7.9984,28.8847,185,0,-0.827366,-0.878156,52.9,28.7
SEAFET02114,10/4/22 22:15,7.9767,7.9987,28.8768,186,0,-0.827356,-0.878136,52.9,28.8
SEAFET02114,10/4/22 22:30,7.9759,7.998,28.8738,187,0,-0.827401,-0.878186,52.8,28.7
SEAFET02114,10/4/22 22:45,7.9741,7.9965,28.8715,188,0,-0.827489,-0.878296,52.8,28.7
SEAFET02114,10/4/22 23:00,7.9736,7.9952,28.8673,189,0,-0.827572,-0.87833,52.8,28.7
SEAFET02114,10/4/22 23:15,7.974,7.9962,28.8661,190,0,-0.827518,-0.878306,52.8,28.7
SEAFET02114,10/4/22 23:30,7.973,7.9953,28.8666,191,0,-0.827568,-0.878366,52.8,28.7
SEAFET02114,10/4/22 23:45,7.9719,7.9942,28.8633,192,0,-0.827635,-0.878433,52.8,28.7
SEAFET02114,10/5/22 0:00,7.9717,7.994,28.8587,193,0,-0.827653,-0.878445,52.8,28.7
SEAFET02114,10/5/22 0:15,7.9708,7.9934,28.8554,194,0,-0.827695,-0.878502,52.8,28.7
SEAFET02114,10/5/22 0:30,7.9709,7.9926,28.8587,195,0,-0.82774,-0.878494,52.8,28.7
SEAFET02114,10/5/22 0:45,7.9719,7.9948,28.8661,196,0,-0.827601,-0.878434,52.8,28.7
SEAFET02114,10/5/22 1:00,7.9717,7.9944,28.872,197,0,-0.827616,-0.878439,52.8,28.7
SEAFET02114,10/5/22 1:15,7.9703,7.9934,28.8768,198,0,-0.827671,-0.87852,52.8,28.7
SEAFET02114,10/5/22 1:30,7.9714,7.9939,28.8801,199,0,-0.827638,-0.878457,52.8,28.7
SEAFET02114,10/5/22 1:45,7.9716,7.9946,28.8871,200,0,-0.827586,-0.878438,52.8,28.7
SEAFET02114,10/5/22 2:00,7.9715,7.9942,28.8926,201,0,-0.827607,-0.878444,52.8,28.8
SEAFET02114,10/5/22 2:15,7.9707,7.994,28.8926,202,0,-0.827621,-0.878491,52.8,28.7
SEAFET02114,10/5/22 2:30,7.9706,7.9935,28.8871,203,0,-0.827654,-0.878499,52.8,28.7
SEAFET02114,10/5/22 2:45,7.9697,7.9926,28.8822,204,0,-0.827712,-0.878557,52.8,28.7
SEAFET02114,10/5/22 3:00,7.9694,7.9924,28.8689,205,0,-0.82774,-0.878582,52.8,28.7
SEAFET02114,10/5/22 3:15,7.9701,7.9928,28.8562,206,0,-0.827731,-0.878542,52.8,28.7
SEAFET02114,10/5/22 3:30,7.97,7.9931,28.8587,207,0,-0.827706,-0.87855,52.8,28.7
SEAFET02114,10/5/22 3:45,7.9698,7.9929,28.8625,208,0,-0.827717,-0.878559,52.8,28.7
SEAFET02114,10/5/22 4:00,7.9672,7.9905,28.8636,209,0,-0.827858,-0.878716,52.8,28.7
SEAFET02114,10/5/22 4:15,7.9677,7.9909,28.8712,210,0,-0.827824,-0.87868,52.8,28.7
SEAFET02114,10/5/22 4:30,7.9667,7.9902,28.8773,211,0,-0.827862,-0.878735,52.8,28.7
SEAFET02114,10/5/22 4:45,7.9668,7.9903,28.8871,212,0,-0.827844,-0.878727,52.8,28.7
SEAFET02114,10/5/22 5:00,7.9693,7.9928,28.8975,213,0,-0.827684,-0.878573,52.8,28.8
SEAFET02114,10/5/22 5:15,7.9664,7.9903,28.9028,214,0,-0.827827,-0.878742,52.8,28.8
SEAFET02114,10/5/22 5:30,7.9673,7.9914,28.914,215,0,-0.82775,-0.878681,52.8,28.8
SEAFET02114,10/5/22 5:45,7.9665,7.9906,28.9249,216,0,-0.82779,-0.878726,52.8,28.8
SEAFET02114,10/5/22 6:00,7.9678,7.9919,28.9334,217,0,-0.827701,-0.878642,52.8,28.8
SEAFET02114,10/5/22 6:15,7.9664,7.9906,28.941,218,0,-0.827771,-0.878725,52.8,28.8
SEAFET02114,10/5/22 6:30,7.9669,7.9914,28.9489,219,0,-0.827717,-0.878691,52.8,28.8
SEAFET02114,10/5/22 6:45,7.9669,7.9915,28.9589,220,0,-0.827699,-0.878683,52.8,28.8
SEAFET02114,10/5/22 7:00,7.968,7.9923,28.9647,221,0,-0.827645,-0.878615,52.8,28.8
SEAFET02114,10/5/22 7:15,7.9656,7.9897,28.9694,222,0,-0.827796,-0.87876,52.9,28.8
SEAFET02114,10/5/22 7:30,7.9638,7.9884,28.9726,223,0,-0.827871,-0.878862,52.8,28.8
SEAFET02114,10/5/22 7:45,7.9653,7.9898,28.9777,224,0,-0.827779,-0.878772,52.8,28.8
SEAFET02114,10/5/22 8:00,7.9651,7.9898,28.9786,225,0,-0.827778,-0.878783,52.9,28.9
SEAFET02114,10/5/22 8:15,7.9632,7.9874,28.9805,226,0,-0.82792,-0.878899,52.9,28.8
SEAFET02114,10/5/22 8:30,7.9636,7.9884,28.9828,227,0,-0.827861,-0.878868,52.8,28.9
SEAFET02114,10/5/22 8:45,7.9657,7.9901,28.9816,228,0,-0.827758,-0.878747,52.8,28.9
SEAFET02114,10/5/22 9:00,7.9677,7.9924,28.9822,229,0,-0.82762,-0.878625,52.8,28.9
SEAFET02114,10/5/22 9:15,7.9691,7.9935,28.9805,230,0,-0.827559,-0.878541,52.9,28.8
SEAFET02114,10/5/22 9:30,7.9716,7.996,28.9749,231,0,-0.827409,-0.878397,52.8,28.8
SEAFET02114,10/5/22 9:45,7.9712,7.9959,28.9729,232,0,-0.82742,-0.878423,52.9,28.8
SEAFET02114,10/5/22 10:00,7.9704,7.9951,28.9707,233,0,-0.827471,-0.878471,52.8,28.8
SEAFET02114,10/5/22 10:15,7.9671,7.9916,28.9673,234,0,-0.827681,-0.87867,52.8,28.9
SEAFET02114,10/5/22 10:30,7.9629,7.988,28.9651,235,0,-0.827904,-0.878922,52.8,28.8
SEAFET02114,10/5/22 10:45,7.9629,7.9877,28.9588,236,0,-0.827924,-0.878924,52.9,28.8
SEAFET02114,10/5/22 11:00,7.9663,7.9911,28.9519,237,0,-0.827732,-0.878726,52.8,28.8
SEAFET02114,10/5/22 11:15,7.9669,7.9918,28.9489,238,0,-0.827689,-0.87869,52.8,28.8
SEAFET02114,10/5/22 11:30,7.9668,7.9918,28.9438,239,0,-0.827699,-0.878699,52.8,28.8
SEAFET02114,10/5/22 11:45,7.964,7.9888,28.941,240,0,-0.827877,-0.878868,52.8,28.8
SEAFET02114,10/5/22 12:00,7.9602,7.9849,28.9377,241,0,-0.828119,-0.879097,52.8,28.8
SEAFET02114,10/5/22 12:15,7.957,7.982,28.9326,242,0,-0.828297,-0.879293,52.8,28.8
SEAFET02114,10/5/22 12:30,7.9608,7.9848,28.9219,243,0,-0.828142,-0.879072,52.8,28.8
SEAFET02114,10/5/22 12:45,7.9652,7.9901,28.9156,244,0,-0.827825,-0.878806,52.8,28.8
SEAFET02114,10/5/22 13:00,7.9627,7.9874,28.9191,245,0,-0.827987,-0.878958,52.8,28.8
SEAFET02114,10/5/22 13:15,7.9606,7.9851,28.914,246,0,-0.828131,-0.879082,52.8,28.8
SEAFET02114,10/5/22 13:30,7.9663,7.9909,28.9061,247,0,-0.82779,-0.878748,52.8,28.8
SEAFET02114,10/5/22 13:45,7.9672,7.9921,28.9084,248,0,-0.827717,-0.87869,52.8,28.8
SEAFET02114,10/5/22 14:00,7.9681,7.9929,28.9104,249,0,-0.827667,-0.878637,52.8,28.7
SEAFET02114,10/5/22 14:15,7.9615,7.9867,28.9173,250,0,-0.828028,-0.879028,52.8,28.8
SEAFET02114,10/5/22 14:30,7.9668,7.9917,28.9089,251,0,-0.82774,-0.878715,52.8,28.7
SEAFET02114,10/5/22 14:45,7.97,7.9955,28.9094,252,0,-0.82751,-0.878527,52.8,28.8
SEAFET02114,10/5/22 15:00,7.9694,7.9942,28.9036,253,0,-0.827593,-0.878563,52.8,28.8
SEAFET02114,10/5/22 15:15,7.9714,7.9961,28.9048,254,0,-0.82748,-0.878445,52.8,28.8
SEAFET02114,10/5/22 15:30,7.9706,7.9955,28.9008,255,0,-0.827521,-0.878491,52.8,28.8
SEAFET02114,10/5/22 15:45,7.9706,7.9949,28.9041,256,0,-0.827554,-0.878491,52.8,28.8
SEAFET02114,10/5/22 16:00,7.9724,7.9965,28.9022,257,0,-0.827461,-0.878383,52.8,28.8
SEAFET02114,10/5/22 16:15,7.9749,7.9987,28.9163,258,0,-0.827313,-0.878229,52.8,28.8
SEAFET02114,10/5/22 16:30,7.9756,7.999,28.9107,259,0,-0.827301,-0.878185,52.8,28.8
SEAFET02114,10/5/22 16:45,7.9766,8,28.9112,260,0,-0.82724,-0.878125,52.8,28.8
SEAFET02114,10/5/22 17:00,7.9747,7.9988,28.9163,261,0,-0.827308,-0.878237,52.8,28.8
SEAFET02114,10/5/22 17:15,7.9761,7.9992,28.9216,262,0,-0.827274,-0.878152,52.8,28.8
SEAFET02114,10/5/22 17:30,7.9734,7.9966,28.9216,263,0,-0.827433,-0.878317,52.8,28.8
SEAFET02114,10/5/22 17:45,7.9722,7.995,28.9196,264,0,-0.827531,-0.878388,52.8,28.8
SEAFET02114,10/5/22 18:00,7.9731,7.9971,28.916,265,0,-0.827408,-0.878336,52.8,28.8
SEAFET02114,10/5/22 18:15,7.9722,7.9955,28.9097,266,0,-0.827511,-0.878389,52.8,28.8
SEAFET02114,10/5/22 18:30,7.9712,7.9943,28.9052,267,0,-0.827585,-0.878455,52.8,28.8
SEAFET02114,10/5/22 18:45,7.97,7.9925,28.9038,268,0,-0.827695,-0.878527,52.8,28.8
SEAFET02114,10/5/22 19:00,7.9683,7.9911,28.9003,269,0,-0.827782,-0.878633,52.8,28.8
SEAFET02114,10/5/22 19:15,7.9715,7.9943,28.8982,270,0,-0.827596,-0.87844,52.8,28.8
SEAFET02114,10/5/22 19:30,7.9728,7.9959,28.9084,271,0,-0.827486,-0.878358,52.8,28.8
SEAFET02114,10/5/22 19:45,7.9751,7.9991,28.9061,272,0,-0.827297,-0.878217,52.8,28.8
SEAFET02114,10/5/22 20:00,7.9737,7.9969,28.9107,273,0,-0.827423,-0.878304,52.8,28.8
SEAFET02114,10/5/22 20:15,7.9752,7.9983,28.9091,274,0,-0.827344,-0.878213,52.8,28.8
SEAFET02114,10/5/22 20:30,7.9762,8.0003,28.9057,275,0,-0.827227,-0.878152,52.9,28.8
SEAFET02114,10/5/22 20:45,7.9761,7.9997,28.8995,276,0,-0.82727,-0.878165,52.8,28.8
SEAFET02114,10/5/22 21:00,7.9758,7.9999,28.9008,277,0,-0.827255,-0.87818,52.9,28.8
SEAFET02114,10/5/22 21:15,7.9772,8.0004,28.8926,278,0,-0.827234,-0.878101,52.8,28.8
SEAFET02114,10/5/22 21:30,7.9755,7.9992,28.8817,279,0,-0.82732,-0.878209,52.8,28.8
SEAFET02114,10/5/22 21:45,7.9758,7.9994,28.8725,280,0,-0.827314,-0.878193,52.8,28.7
SEAFET02114,10/5/22 22:00,7.9744,7.9979,28.8664,281,0,-0.827411,-0.87828,52.8,28.7
SEAFET02114,10/5/22 22:15,7.976,7.9995,28.8429,282,0,-0.82734,-0.878197,52.8,28.7
SEAFET02114,10/5/22 22:30,7.9738,7.9973,28.8261,283,0,-0.82749,-0.878338,52.8,28.7
SEAFET02114,10/5/22 22:45,7.973,7.9967,28.802,284,0,-0.827554,-0.878398,52.8,28.7
SEAFET02114,10/5/22 23:00,7.9715,7.9953,28.7755,285,0,-0.827665,-0.878502,52.8,28.7
SEAFET02114,10/5/22 23:15,7.9723,7.9957,28.7114,286,0,-0.827707,-0.878486,52.8,28.6
SEAFET02114,10/5/22 23:30,7.9719,7.9954,28.6722,287,0,-0.827764,-0.87853,52.8,28.6
SEAFET02114,10/5/22 23:45,7.9696,7.9932,28.6426,288,0,-0.827932,-0.878683,52.8,28.5
SEAFET02114,10/6/22 0:00,7.9679,7.9908,28.6162,289,0,-0.828099,-0.8788,52.8,28.5
SEAFET02114,10/6/22 0:15,7.9651,7.9885,28.6032,290,0,-0.828252,-0.878971,52.8,28.4
SEAFET02114,10/6/22 0:30,7.9627,7.9856,28.5848,291,0,-0.828443,-0.879125,52.8,28.5
SEAFET02114,10/6/22 0:45,7.9645,7.9875,28.5644,292,0,-0.828351,-0.87903,52.8,28.4
SEAFET02114,10/6/22 1:00,7.9641,7.987,28.5503,293,0,-0.828395,-0.879056,52.8,28.4
SEAFET02114,10/6/22 1:15,7.9578,7.9812,28.5391,294,0,-0.828758,-0.879439,52.7,28.4
SEAFET02114,10/6/22 1:30,7.9542,7.9776,28.5305,295,0,-0.828979,-0.879658,52.7,28.4
SEAFET02114,10/6/22 1:45,7.9527,7.9761,28.5155,296,0,-0.829083,-0.879755,52.7,28.4
SEAFET02114,10/6/22 2:00,7.9584,7.9818,28.4915,297,0,-0.828772,-0.879429,52.7,28.4
SEAFET02114,10/6/22 2:15,7.9617,7.9847,28.4636,298,0,-0.828627,-0.879247,52.7,28.4
SEAFET02114,10/6/22 2:30,7.9617,7.985,28.4357,299,0,-0.828635,-0.879261,52.7,28.3
SEAFET02114,10/6/22 2:45,7.9585,7.9819,28.412,300,0,-0.828849,-0.879463,52.7,28.3
SEAFET02114,10/6/22 3:00,7.9584,7.9823,28.3828,301,0,-0.828857,-0.879481,52.7,28.3
SEAFET02114,10/6/22 3:15,7.9576,7.9806,28.351,302,0,-0.828988,-0.879547,52.7,28.2
SEAFET02114,10/6/22 3:30,7.9539,7.9771,28.3195,303,0,-0.829232,-0.879781,52.7,28.2
SEAFET02114,10/6/22 3:45,7.9512,7.9748,28.2975,304,0,-0.829393,-0.879957,52.7,28.2
SEAFET02114,10/6/22 4:00,7.9528,7.9762,28.2614,305,0,-0.829348,-0.879878,52.7,28.1
SEAFET02114,10/6/22 4:15,7.955,7.9781,28.2368,306,0,-0.829261,-0.879761,52.7,28.1
SEAFET02114,10/6/22 4:30,7.959,7.9821,28.2169,307,0,-0.829041,-0.879529,52.7,28.1
SEAFET02114,10/6/22 4:45,7.9592,7.9829,28.2021,308,0,-0.82901,-0.879524,52.7,28.1
SEAFET02114,10/6/22 5:00,7.9629,7.9857,28.1886,309,0,-0.828854,-0.879312,52.7,28.1
SEAFET02114,10/6/22 5:15,7.9645,7.9876,28.1754,310,0,-0.828753,-0.879224,52.7,28.1
SEAFET02114,10/6/22 5:30,7.9604,7.9839,28.1709,311,0,-0.828981,-0.879467,52.7,28.1
SEAFET02114,10/6/22 5:45,7.963,7.9863,28.1614,312,0,-0.828847,-0.87932,52.7,28.1
SEAFET02114,10/6/22 6:00,7.9661,7.9889,28.1516,313,0,-0.828703,-0.879139,52.6,28
SEAFET02114,10/6/22 6:15,7.9647,7.9881,28.1493,314,0,-0.828751,-0.879225,52.6,28
SEAFET02114,10/6/22 6:30,7.9662,7.9893,28.1437,315,0,-0.828687,-0.879138,52.6,28
SEAFET02114,10/6/22 6:45,7.9684,7.9914,28.1365,316,0,-0.828565,-0.879008,52.6,28
SEAFET02114,10/6/22 7:00,7.9679,7.9915,28.1335,317,0,-0.828567,-0.879038,52.6,28
SEAFET02114,10/6/22 7:15,7.9685,7.9917,28.1303,318,0,-0.828559,-0.879008,52.6,28
SEAFET02114,10/6/22 7:30,7.965,7.9886,28.1303,319,0,-0.828739,-0.879216,52.6,28
SEAFET02114,10/6/22 7:45,7.9641,7.9875,28.1282,320,0,-0.828808,-0.87927,52.6,28
SEAFET02114,10/6/22 8:00,7.964,7.9877,28.128,321,0,-0.828799,-0.879276,52.6,28
SEAFET02114,10/6/22 8:15,7.9662,7.9901,28.1233,322,0,-0.828662,-0.879148,52.6,28
SEAFET02114,10/6/22 8:30,7.9642,7.9876,28.1217,323,0,-0.828812,-0.879269,52.6,28
SEAFET02114,10/6/22 8:45,7.966,7.9896,28.1201,324,0,-0.828693,-0.879162,52.6,28
SEAFET02114,10/6/22 9:00,7.9624,7.9858,28.1201,325,0,-0.828919,-0.879377,52.6,28
SEAFET02114,10/6/22 9:15,7.9634,7.9864,28.1185,326,0,-0.828884,-0.879315,52.6,28
SEAFET02114,10/6/22 9:30,7.965,7.9888,28.1175,327,0,-0.828745,-0.879224,52.6,28
SEAFET02114,10/6/22 9:45,7.965,7.9887,28.115,328,0,-0.828751,-0.879225,52.6,28
SEAFET02114,10/6/22 10:00,7.9627,7.9866,28.1145,329,0,-0.828879,-0.879363,52.6,28
SEAFET02114,10/6/22 10:15,7.9632,7.987,28.1126,330,0,-0.828854,-0.87933,52.6,28
SEAFET02114,10/6/22 10:30,7.9614,7.9855,28.1154,331,0,-0.828941,-0.879438,52.6,28
SEAFET02114,10/6/22 10:45,7.9633,7.9875,28.1233,332,0,-0.828812,-0.879317,52.6,28
SEAFET02114,10/6/22 11:00,7.9603,7.9844,28.1335,333,0,-0.828988,-0.879493,52.6,28
SEAFET02114,10/6/22 11:15,7.9638,7.9882,28.1493,334,0,-0.828748,-0.879278,52.6,28
SEAFET02114,10/6/22 11:30,7.9617,7.9863,28.1617,335,0,-0.828845,-0.879399,52.6,28.1
SEAFET02114,10/6/22 11:45,7.962,7.9867,28.1761,336,0,-0.82881,-0.879372,52.6,28.1
SEAFET02114,10/6/22 12:00,7.9641,7.9892,28.1931,337,0,-0.828641,-0.879235,52.6,28.1
SEAFET02114,10/6/22 12:15,7.9635,7.9884,28.2044,338,0,-0.828676,-0.879269,52.6,28.1
SEAFET02114,10/6/22 12:30,7.964,7.9895,28.2164,339,0,-0.828595,-0.879234,52.6,28.1
SEAFET02114,10/6/22 12:45,7.9639,7.9895,28.2253,340,0,-0.828587,-0.879231,52.6,28.1
SEAFET02114,10/6/22 13:00,7.9668,7.9921,28.2317,341,0,-0.828424,-0.879056,52.6,28.1
SEAFET02114,10/6/22 13:15,7.9664,7.9917,28.2447,342,0,-0.828438,-0.879072,52.6,28.1
SEAFET02114,10/6/22 13:30,7.9669,7.9924,28.2535,343,0,-0.828384,-0.87904,52.6,28.1
SEAFET02114,10/6/22 13:45,7.9663,7.9918,28.2508,344,0,-0.828424,-0.879074,52.6,28.1
SEAFET02114,10/6/22 14:00,7.9641,7.9894,28.247,345,0,-0.828573,-0.879212,52.6,28.1
SEAFET02114,10/6/22 14:15,7.9712,7.9969,28.2276,346,0,-0.828144,-0.878797,52.7,28.1
SEAFET02114,10/6/22 14:30,7.9693,7.9951,28.2201,347,0,-0.828261,-0.878912,52.7,28.1
SEAFET02114,10/6/22 14:45,7.9703,7.996,28.2112,348,0,-0.828214,-0.878857,52.7,28.1
SEAFET02114,10/6/22 15:00,7.969,7.9941,28.2083,349,0,-0.828333,-0.878934,52.7,28.1
SEAFET02114,10/6/22 15:15,7.9712,7.9972,28.1919,350,0,-0.82816,-0.878816,52.7,28.1
SEAFET02114,10/6/22 15:30,7.9747,8.0007,28.1686,351,0,-0.827976,-0.878618,52.7,28.1
SEAFET02114,10/6/22 15:45,7.9745,8.0007,28.1576,352,0,-0.827988,-0.878632,52.7,28.1
SEAFET02114,10/6/22 16:00,7.9747,8.0005,28.1541,353,0,-0.828007,-0.878623,52.6,28
SEAFET02114,10/6/22 16:15,7.9761,8.0016,28.1505,354,0,-0.82794,-0.878539,52.7,28.1
SEAFET02114,10/6/22 16:30,7.9757,8.0016,28.1568,355,0,-0.827937,-0.878559,52.6,28
SEAFET02114,10/6/22 16:45,7.9774,8.0036,28.152,356,0,-0.827821,-0.878465,52.6,28
SEAFET02114,10/6/22 17:00,7.976,8.0025,28.1561,357,0,-0.827886,-0.878546,52.7,28.1
SEAFET02114,10/6/22 17:15,7.979,8.0045,28.1568,358,0,-0.827761,-0.878363,52.7,28.1
SEAFET02114,10/6/22 17:30,7.9772,8.0035,28.1548,359,0,-0.827822,-0.878474,52.6,28
SEAFET02114,10/6/22 17:45,7.9805,8.007,28.1627,360,0,-0.82761,-0.878271,52.7,28.1
SEAFET02114,10/6/22 18:00,7.9806,8.007,28.1641,361,0,-0.827609,-0.878265,52.7,28.1
SEAFET02114,10/6/22 18:15,7.9807,8.0075,28.1644,362,0,-0.827575,-0.878257,52.7,28.1
SEAFET02114,10/6/22 18:30,7.9812,8.0077,28.1666,363,0,-0.827561,-0.878227,52.7,28.1
SEAFET02114,10/6/22 18:45,7.9816,8.0088,28.168,364,0,-0.827493,-0.878203,52.7,28.1
SEAFET02114,10/6/22 19:00,7.9812,8.0078,28.1742,365,0,-0.82755,-0.878223,52.7,28.1
SEAFET02114,10/6/22 19:15,7.9806,8.007,28.1752,366,0,-0.827595,-0.878259,52.7,28.1
SEAFET02114,10/6/22 19:30,7.9813,8.0088,28.184,367,0,-0.827479,-0.878213,52.7,28.1
SEAFET02114,10/6/22 19:45,7.9828,8.0101,28.1865,368,0,-0.827398,-0.878125,52.7,28.1
SEAFET02114,10/6/22 20:00,7.9802,8.0067,28.1919,369,0,-0.827594,-0.878272,52.7,28.1
SEAFET02114,10/6/22 20:15,7.9819,8.0096,28.1978,370,0,-0.827413,-0.878173,52.7,28.1
SEAFET02114,10/6/22 20:30,7.9802,8.0075,28.1974,371,0,-0.827544,-0.878274,52.7,28.1
SEAFET02114,10/6/22 20:45,7.9796,8.0075,28.1974,372,0,-0.827544,-0.878307,52.7,28.1
SEAFET02114,10/6/22 21:00,7.9801,8.0071,28.1974,373,0,-0.827565,-0.878276,52.7,28.1
SEAFET02114,10/6/22 21:15,7.9808,8.0084,28.1997,374,0,-0.827487,-0.878236,52.7,28.1
SEAFET02114,10/6/22 21:30,7.9803,8.0081,28.1955,375,0,-0.827508,-0.878265,52.7,28.1
SEAFET02114,10/6/22 21:45,7.9792,8.0066,28.1919,376,0,-0.827601,-0.878333,52.7,28.1
SEAFET02114,10/6/22 22:00,7.9766,8.0043,28.1919,377,0,-0.827736,-0.878491,52.7,28.1
SEAFET02114,10/6/22 22:15,7.9748,8.003,28.1886,378,0,-0.827818,-0.878597,52.7,28.1
SEAFET02114,10/6/22 22:30,7.9775,8.0058,28.1827,379,0,-0.827657,-0.878439,52.7,28.1
SEAFET02114,10/6/22 22:45,7.9764,8.0043,28.1759,380,0,-0.827755,-0.87851,52.7,28.1
SEAFET02114,10/6/22 23:00,7.9748,8.0028,28.1705,381,0,-0.827853,-0.878606,52.7,28.1
SEAFET02114,10/6/22 23:15,7.9747,8.0025,28.1604,382,0,-0.827877,-0.878621,52.6,28
SEAFET02114,10/6/22 23:30,7.9733,8.0012,28.1548,383,0,-0.827965,-0.878706,52.6,28
SEAFET02114,10/6/22 23:45,7.9701,7.9978,28.1512,384,0,-0.82817,-0.8789,52.6,28
SEAFET02114,10/7/22 0:00,7.9689,7.9972,28.1453,385,0,-0.828213,-0.878976,52.6,28
SEAFET02114,10/7/22 0:15,7.9671,7.9957,28.1414,386,0,-0.828306,-0.879082,52.6,28
SEAFET02114,10/7/22 0:30,7.9634,7.9916,28.1414,387,0,-0.82855,-0.879307,52.6,28
SEAFET02114,10/7/22 0:45,7.9614,7.9901,28.1391,388,0,-0.828646,-0.879424,52.6,28
SEAFET02114,10/7/22 1:00,7.9611,7.9894,28.1375,389,0,-0.828687,-0.879447,52.6,28
SEAFET02114,10/7/22 1:15,7.9562,7.9851,28.1367,390,0,-0.828945,-0.879739,52.6,28
SEAFET02114,10/7/22 1:30,7.9494,7.9782,28.1367,391,0,-0.829357,-0.880144,52.6,28
SEAFET02114,10/7/22 1:45,7.9445,7.9735,28.1375,392,0,-0.829638,-0.880437,52.6,28
SEAFET02114,10/7/22 2:00,7.945,7.9735,28.1381,393,0,-0.829634,-0.880408,52.6,28
SEAFET02114,10/7/22 2:15,7.9425,7.9711,28.1378,394,0,-0.829782,-0.880557,52.6,28
SEAFET02114,10/7/22 2:30,7.9497,7.9787,28.1358,395,0,-0.82933,-0.880125,52.6,28
SEAFET02114,10/7/22 2:45,7.9481,7.9777,28.1358,396,0,-0.829388,-0.880222,52.6,28
